"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2014-04-30,"Brookside","CA","Stockton","San Joaquin","Stockton",1230,1647,0.00610873549175321,0.00857317819963258,0.0326018808777429,3302
2014-04-30,"East Colfax","CO","Denver","Denver","Denver",1231,1295,-0.00231124807395994,0.0140955364134691,0.0720198675496689,2373
2014-04-30,"Chestnut Hill","PA","Philadelphia","Philadelphia","Philadelphia",1232,1951,0.00308483290488432,0.0563075257173795,-0.0464320625610948,2516
2014-04-30,"Maize-Morse","OH","Columbus","Franklin","Columbus",1233,916,0,0.0132743362831858,0.0280583613916947,2601
2014-04-30,"Union Miles Park","OH","Cleveland","Cuyahoga","Cleveland",1234,801,0.0177890724269377,0.0623342175066313,0.0737265415549598,3092
2014-04-30,"Hunters Point","NY","New York","Queens","New York",1235,3267,-0.018034265103697,0.03879173290938,0.201544685546157,1898
2014-04-30,"University Heights","NJ","New York","Essex","Newark",1236,1502,-0.0240415854450942,-0.00923482849604222,-0.000665335994677312,831
2014-04-30,"Seventh Ward","LA","New Orleans","Orleans","New Orleans",1237,1316,0.000760456273764259,-0.00378501135503407,0.100334448160535,1433
2014-04-30,"Asylum Hill","CT","Hartford","Hartford","Hartford",1238,1118,-0.00798580301685892,0.0108499095840868,0.104743083003953,882
2014-04-30,"Hegewisch","IL","Chicago","Cook","Chicago",1239,1229,0.011522633744856,0.015702479338843,0.0293132328308208,4511
2014-04-30,"College East","CA","San Diego","San Diego","San Diego",1240,2118,0.0100143061516452,0.0448939319190923,0.0811638591117917,1908
2014-04-30,"Bridle Trails","WA","Seattle","King","Bellevue",1241,2489,-0.00200481154771451,-0.00678371907422187,0.00606305578011318,2845
2014-04-30,"Baymeadows","FL","Jacksonville","Duval","Jacksonville",1242,991,-0.00701402805611222,-0.0168650793650794,-0.0109780439121757,2074
2014-04-30,"Sabre Springs","CA","San Diego","San Diego","San Diego",1243,2316,0.000864304235090752,0.0117955439056356,0.0408988764044944,3245
2014-04-30,"Mount Tabor","OR","Portland","Multnomah","Portland",1244,1699,0.00354400472533963,-0.0122093023255814,0.0017688679245283,3500
2014-04-30,"Forest","NY","Buffalo","Erie","Buffalo",1245,818,0.0473751600512164,0.136111111111111,0.150492264416315,798
2014-04-30,"Foxhill","VA","Virginia Beach","Hampton City","Hampton",1246,1283,0.00234375,0.00785545954438335,0.028869286287089,2741
2014-04-30,"Congress Park","CO","Denver","Denver","Denver",1247,2163,-0.00870760769935839,-0.00138504155124654,-0.00460193281178095,3326
2014-04-30,"Indian Hills-Stonewall Estates-Monticello","KY","Lexington","Fayette","Lexington",1248,1228,-0.040625,-0.0473235065942591,-0.0112721417069243,3504
2014-04-30,"Rio Bravo","CA","Bakersfield","Kern","Bakersfield",1249,1492,0.00810810810810811,0.00539083557951483,-0.0349288486416559,3107
2014-04-30,"Lower Roseville","NJ","New York","Essex","Newark",1250,1532,-0.0309930423782416,-0.00130378096479791,0.0989956958393113,1193
2014-04-30,"Southeast Torrance","CA","Los Angeles","Los Angeles","Torrance",1251,2611,0.00733024691358025,0.0223179326546594,0.00733024691358025,2625
2014-04-30,"Fox Creek","CA","Stockton","San Joaquin","Stockton",1252,1047,0.000956022944550669,0.0106177606177606,0.0174927113702624,1868
2014-04-30,"Paradise Hills","NV","Las Vegas","Clark","Henderson",1253,1413,-0.00632911392405063,-0.0139567341242149,-0.0180681028492008,3689
2014-04-30,"Brooklyn","MD","Baltimore","Baltimore City","Baltimore",1254,1149,0.0204262877442274,0.0426497277676951,0.00261780104712042,2843
2014-04-30,"Turtle Rock","CA","Los Angeles","Orange","Irvine",1255,3507,-0.00170794192997438,-0.00707814269535674,0.00142775556824672,3374
2014-04-30,"University Area","AK","Anchorage","Anchorage","Anchorage",1256,1859,0.0032379924446843,-0.0032171581769437,-0.0705,2266
2014-04-30,"Huguenot","NY","New York","Richmond","New York",1257,2299,0.00744960560911481,0.0717948717948718,-0.01919795221843,1781
2014-04-30,"Carrick","PA","Pittsburgh","Allegheny","Pittsburgh",1258,906,0.00332225913621262,0.0486111111111111,0.0202702702702703,3517
2014-04-30,"Jenkins, Pinecroft Subdivision","LA","Shreveport","Caddo","Shreveport",1259,1068,-0.0343580470162749,-0.0165745856353591,-0.137318255250404,3455
2014-04-30,"Old Fourth Ward","GA","Atlanta","Fulton","Atlanta",1260,1228,0.00573300573300573,0.00573300573300573,0.0336700336700337,2827
